date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
2/26/2018,96,D,2,bvr,b,r,0,too short,too short
2/26/2018,97,D,2,bvr,b,r,0,too short,too short
2/26/2018,98,D,2,bvr,b,r,1,,
2/26/2018,99,D,2,bvr,b,r,1,,
2/26/2018,100,D,2,bvr,b,r,1,,
2/27/2018,101,D,2,bvr,b,r,0,too short,too short
2/27/2018,102,D,2,bvr,b,r,1,,
2/27/2018,103,N,1,bvr,b,r,1,,
2/27/2018,104,N,1,bvr,b,r,1,,
2/27/2018,105,N,2,bvr,b,r,1,,
2/27/2018,106,N,2,bvr,b,r,1,,
2/27/2018,107,D,2,gvr,g,r,1,,
2/27/2018,108,D,2,gvr,g,r,1,,
2/27/2018,109,D,2,gvr,g,r,1,,
2/27/2018,110,D,2,gvr,g,r,1,,
2/27/2018,111,D,2,gvr,g,r,1,,
2/27/2018,112,D,2,gvr,g,r,0,too short,too short
2/27/2018,113,D,2,gvr,g,r,1,,
2/27/2018,114,D,2,gvr,g,r,1,,
2/27/2018,115,D,2,gvr,g,r,1,,
2/27/2018,116,D,2,rvy,y,r,1,,
2/27/2018,117,D,2,rvy,y,r,0,too short,too short
2/27/2018,118,D,1,rvy,y,r,1,,
2/27/2018,119,D,1,rvy,y,r,0,too short,too short
2/27/2018,120,D,1,rvy,y,r,1,,
2/27/2018,121,D,1,rvy,y,r,1,,
2/27/2018,122,D,1,rvy,y,r,0,too short,too short
2/27/2018,123,D,1,rvy,y,r,0,too short,too short
2/27/2018,124,D,1,rvy,y,r,1,,
2/27/2018,125,D,1,rvy,y,r,1,,
2/27/2018,126,D,2,rvy,r,y,1,,
2/27/2018,127,D,2,rvy,r,y,0,too short,too short
2/27/2018,128,D,2,rvy,r,y,1,,
2/27/2018,129,D,2,rvy,r,y,0,too short,too short
2/27/2018,130,N,1,rvy,r,y,0,too short,too short
2/28/2018,131,D,2,rvy,r,y,1,,
2/28/2018,132,D,2,rvy,r,y,1,,
2/28/2018,133,D,2,rvy,r,y,1,,
